Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
IMAGE AND VISION COMPUTING,IMAGE AND VISION COMPUTING,0262-8856,1872-8138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,275",3.103
PeerJ Computer Science,PeerJ Computer Science,N/A,2376-5992,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",685,3.091
SOFT COMPUTING,SOFT COMPUTING,1432-7643,1433-7479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","8,859",3.05
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWLEDGE AND INFORMATION SYSTEMS,0219-1377,0219-3116,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,242",2.936
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,0169-7439,1873-3239,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,421",2.895
NEURAL PROCESSING LETTERS,NEURAL PROCESSING LETTERS,1370-4621,1573-773X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,606",2.891
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOTICS AND AUTONOMOUS SYSTEMS,0921-8890,1872-793X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","6,270",2.825
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","4,190",2.678
Big Data Research,Big Data Research,2214-5796,2214-5796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",462,2.673
ACM Transactions on Intelligent Systems and Technology,ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,727",2.672
MACHINE LEARNING,MACHINE LEARNING,0885-6125,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","18,677",2.672
IEEE Transactions on Cognitive and Developmental Systems,IEEE Transactions on Cognitive and Developmental Systems,2379-8920,2379-8939,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",461,2.667
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MINING AND KNOWLEDGE DISCOVERY,1384-5810,1573-756X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,566",2.629
Frontiers in Neurorobotics,Frontiers in Neurorobotics,1662-5218,1662-5218,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",799,2.574
