Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Neural Processing Letters,37.0,38.0,59.0,63.0,61.0,50.0,60.0,67.0,68.0,58.0,51.0,66.0,64.0,63.0,65.0,69.0,72.0,78.0,71.0
Journal of Heuristics,18.0,20.0,25.0,47.0,42.0,40.0,20.0,21.0,25.0,33.0,49.0,46.0,55.0,68.0,67.0,79.0,77.0,87.0,81.0
Data Mining and Knowledge Discovery,5.0,6.0,5.0,7.0,5.0,7.0,22.0,18.0,13.0,9.0,16.0,22.0,18.0,19.0,21.0,36.0,29.0,24.0,41.0
Autonomous Agents and Multi-Agent Systems,33.0,16.0,8.0,15.0,20.0,24.0,23.0,37.0,43.0,54.0,52.0,58.0,72.0,70.0,74.0,95.0,69.0,85.0,102.0
Soft Computing,56.0,58.0,42.0,49.0,58.0,56.0,45.0,33.0,44.0,55.0,56.0,64.0,60.0,49.0,55.0,54.0,51.0,54.0,48.0
Pattern Analysis and Applications,29.0,35.0,47.0,40.0,39.0,59.0,54.0,46.0,47.0,72.0,78.0,84.0,76.0,78.0,87.0,81.0,73.0,84.0,49.0
Advanced Engineering Informatics,59.0,62.0,68.0,74.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,116.0,122.0,129.0,135.0,131.0
Journal of Chemometrics,,12.0,29.0,25.0,36.0,54.0,48.0,54.0,46.0,59.0,82.0,79.0,69.0,83.0,99.0,102.0,105.0,111.0,109.0
Constraints,,51.0,60.0,55.0,62.0,62.0,57.0,63.0,56.0,57.0,77.0,92.0,106.0,103.0,100.0,92.0,75.0,133.0,125.0
IEEE Intelligent Systems,,28.0,35.0,41.0,34.0,36.0,50.0,57.0,53.0,62.0,43.0,41.0,74.0,47.0,43.0,65.0,92.0,86.0,74.0
Knowledge and Information Systems,,,21.0,23.0,24.0,9.0,12.0,47.0,,39.0,40.0,39.0,36.0,38.0,45.0,43.0,60.0,72.0,80.0
International Journal of Information Technology &amp; Decision Making,,,61.0,53.0,59.0,66.0,56.0,,,53.0,66.0,88.0,79.0,56.0,59.0,83.0,80.0,69.0,60.0
Computational Linguistics,,,22.0,27.0,21.0,19.0,27.0,55.0,,13.0,50.0,40.0,34.0,54.0,72.0,80.0,99.0,73.0,79.0
Adaptive Behavior,,,33.0,42.0,40.0,41.0,66.0,69.0,65.0,66.0,74.0,87.0,93.0,84.0,79.0,107.0,110.0,110.0,101.0
Applied Soft Computing,,,41.0,32.0,19.0,12.0,11.0,16.0,18.0,20.0,20.0,20.0,20.0,17.0,18.0,22.0,21.0,19.0,13.0
International Journal of Neural Systems,,,,60.0,54.0,43.0,42.0,29.0,26.0,26.0,25.0,24.0,21.0,23.0,20.0,25.0,33.0,35.0,30.0
Intelligent Data Analysis,,,,65.0,50.0,47.0,80.0,83.0,85.0,90.0,95.0,97.0,98.0,101.0,108.0,113.0,114.0,122.0,120.0
Neural Network World,,,,74.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,102.0,103.0,99.0,103.0,111.0,106.0,103.0,130.0
Cognitive Systems Research,,,,61.0,68.0,75.0,43.0,39.0,61.0,81.0,80.0,85.0,97.0,86.0,,,,34.0,
IEEE Computational Intelligence Magazine,,,,22.0,38.0,73.0,62.0,52.0,62.0,89.0,87.0,75.0,63.0,74.0,70.0,41.0,45.0,94.0,93.0
Journal of Web Semantics,,,,9.0,7.0,5.0,7.0,11.0,24.0,21.0,19.0,54.0,59.0,40.0,41.0,77.0,96.0,102.0,103.0
IET Computer Vision,,,,74.0,48.0,61.0,68.0,61.0,64.0,68.0,70.0,110.0,113.0,114.0,98.0,84.0,123.0,131.0,119.0
International Journal on Document Analysis and Recognition (IJDAR),,,,,22.0,25.0,49.0,49.0,50.0,50.0,39.0,50.0,51.0,52.0,85.0,67.0,55.0,53.0,73.0
International Journal on Semantic Web and Information Systems,,,,,43.0,57.0,6.0,4.0,84.0,48.0,54.0,72.0,73.0,100.0,84.0,99.0,118.0,100.0,84.0
