Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Computing and Informatics,0.456,0.091,0.136,0.349,0.492,0.456,0.356,0.239,0.254,0.319,0.504,0.524,0.488,0.41,0.421,0.496,0.319,0.455,0.455
Medical Image Analysis,3.212,3.149,3.256,3.505,3.602,3.093,4.364,4.424,4.087,3.681,3.654,4.565,4.188,5.356,8.88,11.148,8.545,13.828,13.828
Neural Processing Letters,0.605,0.701,0.753,0.58,0.942,1.015,1.088,0.75,1.24,1.237,1.448,1.747,1.62,1.787,2.591,2.891,2.908,2.565,2.565
Journal of Heuristics,1.113,0.551,0.74,0.644,1.064,1.264,1.623,1.262,1.471,1.359,1.135,1.344,1.807,1.129,1.392,1.577,1.682,2.247,2.247
Data Mining and Knowledge Discovery,2.8,2.105,2.295,2.42,2.421,2.95,1.238,1.545,2.877,1.743,1.987,2.714,3.16,2.481,2.879,2.629,3.67,5.406,5.406
Autonomous Agents and Multi-Agent Systems,1.447,2.605,1.974,1.34,2.125,1.51,2.103,1.213,0.79,1.108,1.254,1.417,1.606,1.176,1.419,1.342,1.431,2.475,2.475
Soft Computing,0.333,0.538,0.516,0.607,0.984,1.328,1.512,1.88,1.124,1.304,1.271,1.63,2.472,2.367,2.784,3.05,3.643,3.732,3.732
Pattern Analysis and Applications,0.803,0.782,0.4,0.515,1.367,1.293,1.097,0.739,0.814,0.742,0.646,1.104,1.352,1.281,1.41,1.512,2.58,2.307,2.307
Advanced Engineering Informatics,5.952,4.027,2.255,2.682,3.116,2.789,2.974,2.561,3.42,2.853,2.473,2.45,5.0,2.281,4.091,3.484,3.654,5.177,5.177
Journal of Chemometrics,,1.875,1.342,1.367,1.415,1.291,1.377,1.952,1.937,1.803,1.5,1.873,1.884,1.5,1.847,1.633,2.467,2.5,2.5
Constraints,,0.714,0.759,0.969,0.879,1.297,1.41,0.659,0.737,1.152,1.257,0.622,1.054,0.66,1.106,1.167,1.679,0.583,0.583
IEEE Intelligent Systems,,2.56,2.413,1.438,2.278,3.144,2.57,2.154,1.93,1.92,2.34,3.532,2.374,2.596,4.464,3.21,3.405,6.744,6.744
Knowledge and Information Systems,,,0.833,0.844,1.733,2.211,2.008,2.225,,2.639,1.782,1.702,2.004,2.247,2.397,2.936,2.822,2.531,2.531
International Journal of Information Technology &amp; Decision Making,,,0.818,0.718,0.953,1.312,3.139,,,1.89,1.406,1.183,1.664,1.755,2.862,1.894,2.22,3.508,3.508
Computational Linguistics,,,1.8,2.367,2.656,2.212,2.971,0.721,,1.468,1.226,2.017,2.528,1.319,2.13,2.51,2.271,7.778,7.778
Adaptive Behavior,,,1.432,1.024,1.152,1.911,1.136,1.019,1.113,1.151,0.859,1.098,1.019,1.0,1.362,0.929,1.942,1.867,1.867
Applied Soft Computing,,,0.849,1.537,1.909,2.415,2.097,2.612,2.14,2.679,2.81,2.857,3.541,3.907,4.873,5.472,6.725,8.263,8.263
International Journal of Neural Systems,,,,0.488,0.901,2.988,4.237,4.284,5.054,6.056,6.507,6.085,6.333,4.58,6.4,5.604,5.866,6.325,6.325
Intelligent Data Analysis,,,,0.446,0.426,0.929,0.412,0.448,0.472,0.5,0.606,0.631,0.772,0.691,0.612,0.651,0.86,1.321,1.321
Neural Network World,,,,0.28,0.395,0.475,0.511,0.646,0.362,0.412,0.479,0.562,0.394,0.5,0.957,0.635,1.518,1.304,1.304
Cognitive Systems Research,,,,1.111,1.581,0.571,1.0,1.173,0.75,0.754,0.831,1.204,1.182,1.425,,,,4.541,
IEEE Computational Intelligence Magazine,,,,1.286,2.535,2.622,2.905,3.368,4.629,2.706,2.571,3.647,6.343,6.611,5.857,9.083,11.356,9.809,9.809
Journal of Web Semantics,,,,3.41,3.023,3.412,2.789,1.302,1.231,1.377,2.55,1.277,1.075,1.348,2.429,2.238,1.897,2.77,2.77
IET Computer Vision,,,,0.083,0.667,0.969,0.447,0.636,0.636,0.758,0.963,0.573,0.878,1.087,1.648,1.516,1.95,1.484,1.484
International Journal on Document Analysis and Recognition (IJDAR),,,,,0.909,1.213,1.091,0.405,0.8,0.857,1.0,0.885,0.902,1.298,0.846,1.486,2.085,3.87,3.87
International Journal on Semantic Web and Information Systems,,,,,1.893,2.345,1.679,2.308,0.25,0.393,0.903,0.621,1.5,0.793,1.833,1.742,0.843,1.478,1.478
Information Fusion,,,,,2.057,2.212,1.621,1.467,2.262,3.472,3.681,4.353,5.667,6.639,10.716,13.669,12.975,17.564,17.564
Traitement du Signal,,,,,,0.121,0.078,0.061,0.158,0.023,0.103,0.0,0.028,0.057,,1.541,2.589,2.299,2.299
Genetic Programming and Evolvable Machines,,,,,,1.091,1.167,1.0,1.333,1.065,0.903,1.143,1.514,1.455,1.333,1.781,1.714,2.522,2.522
Information Technology and Control,,,,,,0.495,0.638,0.88,0.667,0.813,0.623,0.633,0.475,0.8,0.707,0.905,1.228,0.813,0.813
ACM Transactions on Autonomous and Adaptive Systems,,,,,,1.364,1.0,1.286,1.0,0.785,0.922,1.118,2.133,1.216,,,0.971,1.913,
International Journal of Fuzzy Systems,,,,,,1.09,1.362,1.157,1.506,1.031,1.095,0.941,2.198,2.396,3.085,4.406,4.673,4.085,4.085
Fuzzy Optimization and Decision Making,,,,,,1.059,0.702,1.488,1.488,1.0,2.163,2.569,1.681,2.022,4.128,4.319,4.128,5.274,5.274
Advances in Electrical and Computer Engineering,,,,,,0.509,0.7,0.555,0.552,0.642,0.529,0.459,0.595,0.699,0.65,1.102,1.221,0.825,0.825
International Journal of Applied Mathematics and Computer Science,,,,,,0.684,0.794,0.487,1.008,1.39,1.227,1.037,1.42,1.694,1.504,0.967,1.417,2.157,2.157
Malaysian Journal of Computer Science,,,,,,,0.364,0.167,0.161,0.5,0.405,0.476,0.6,0.65,0.625,0.723,0.622,0.436,0.436
Turkish Journal of Electrical Engineering and Computer Sciences,,,,,,,0.286,0.283,0.568,0.644,0.407,0.518,0.578,0.58,0.625,0.682,0.806,0.853,0.853
The International Arab Journal of Information Technology,,,,,,,0.065,0.127,0.39,0.366,0.582,0.519,0.724,0.466,0.41,0.467,0.669,0.967,0.967
Journal of Real-Time Image Processing,,,,,,,0.962,1.02,1.156,1.111,2.02,1.564,2.01,1.574,2.588,1.968,2.358,2.293,2.293
Journal of Ambient Intelligence and Smart Environments,,,,,,,1.5,0.63,1.298,1.082,1.063,0.707,0.809,0.878,1.186,1.595,2.105,2.759,2.759
SIAM Journal on Imaging Sciences,,,,,,,4.5,4.656,2.966,2.867,2.27,2.687,2.485,2.361,2.514,2.313,2.867,1.938,1.938
Natural Language Engineering,,,,,,,,0.432,0.474,0.463,0.639,0.886,1.065,0.8,1.13,1.465,1.07,1.841,1.841
Applied Ontology,,,,,,,,1.105,1.08,0.844,0.615,0.526,1.296,0.774,0.75,0.852,1.115,1.367,1.367
Cognitive Computation,,,,,,,,1.0,0.867,1.1,1.44,1.933,3.441,3.479,4.287,,5.418,4.89,4.89
Natural Computing,,,,,,,,,0.683,0.539,0.757,1.31,0.778,0.86,1.33,1.495,1.69,1.504,1.504
International Journal of Bio-Inspired Computation,,,,,,,,,1.351,1.681,3.969,1.39,1.935,2.266,3.395,1.914,3.977,3.295,3.295
Journal on Multimodal User Interfaces,,,,,,,,,0.833,0.462,0.797,1.017,1.031,1.14,2.02,1.511,1.769,1.694,1.694
Swarm Intelligence,,,,,,,,,0.64,1.833,2.16,2.577,3.115,1.52,2.208,2.556,2.143,3.727,3.727
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,,,,,,,,,1.422,1.358,1.594,1.759,2.111,1.939,2.541,4.476,7.25,7.558,7.558
IEEE Transactions on Neural Networks and Learning Systems,,,,,,,,,3.766,4.37,4.291,4.854,6.108,7.982,11.683,8.793,10.451,14.255,14.255
International Journal of Computational Intelligence Systems,,,,,,,,,,0.451,0.574,0.391,1.14,2.0,2.153,1.838,1.736,2.259,2.259
IEEE Transactions on Affective Computing,,,,,,,,,,3.466,2.675,1.873,3.149,4.585,6.288,7.512,10.506,13.99,13.99
ACM Transactions on Intelligent Systems and Technology,,,,,,,,,,9.39,1.252,2.414,3.196,2.973,2.861,2.672,4.654,10.489,10.489
IEEE Transactions on Cybernetics,,,,,,,,,,0.536,3.469,4.943,7.384,8.803,10.387,11.079,11.448,19.118,19.118
