DOI,Título,Autores,Año,Citas,Revista
10.1142/s1793351x13400035,SEMANTIC MOTION CONCEPT RETRIEVAL IN NON-STATIC BACKGROUND UTILIZING SPATIAL-TEMPORAL VISUAL INFORMATION,"DIANTING LIU, MEI-LING SHYU",2013,5,International Journal of Semantic Computing
10.1142/s1793351x12400028,A METHOD FOR INTEGRATING MULTIMEDIA METADATA STANDARDS AND METADATA FORMATS WITH THE MULTIMEDIA METADATA ONTOLOGY,"ANSGAR SCHERP, DANIEL EIßING, CARSTEN SAATHOFF",2012,8,International Journal of Semantic Computing
10.1142/s1793351x16500045,Deep Learning,"Xing Hao, Guigang Zhang, Shang Ma",2016,182,International Journal of Semantic Computing
10.1142/s1793351x17500015,Home Price Index: A Machine Learning Methodology,"Joseph R. Barr, Eden A. Ellis, Antonio Kassab, Christian L. Redfearn, Narayanan Nani Srinivasan, Kurtis B. Voris",2017,5,International Journal of Semantic Computing
10.1142/s1793351x17400074,Semantic Image Retrieval with Feature Space Rankings,"Kai Li, Guo-Jun Qi, Jun Ye, Tuoerhongjiang Yusuph, Kien A. Hua",2017,2,International Journal of Semantic Computing
10.1142/s1793351x18400196,Convolutional Nonlinear Differential Recurrent Neural Networks for Crowd Scene Understanding,"Naifan Zhuang, The Duc Kieu, Jun Ye, Kien A. Hua",2018,3,International Journal of Semantic Computing
10.1142/s1793351x22420016,Using Synthetic Images to Evaluate and Improve Object Detection Neural Network Performance on Aerial Image Datasets,"Kai Konen, Tobias Hecking",2022,0,International Journal of Semantic Computing
10.1142/s1793351x2299001x,Author Index Volume 16 (2022),,2022,0,International Journal of Semantic Computing
10.1142/s1793351x08000579,NATURAL LANGUAGE INTERACTIONS IN DISTRIBUTED NETWORKS OF SMART DEVICES,"PAUL SCHERMERHORN, MATTHIAS SCHEUTZ",2008,5,International Journal of Semantic Computing
10.1142/s1793351x08000476,USING SCDL FOR INTEGRATING TOOLS AND DATA FOR COMPLEX BIOMEDICAL APPLICATIONS,"SHU WANG, ROUH-MEI HU, HAN C. W. HSIAO, DAVID A. HECHT, KA-LOK NG, RONG-MING CHEN, PHILLIP C.-Y. SHEU, JEFFREY J. P. TSAI",2008,9,International Journal of Semantic Computing
10.1142/s1793351x09000781,"PROBLEMS, SOLUTIONS, AND SEMANTIC COMPUTING","PHILLIP C.-Y. SHEU, C. V. RAMAMOORTHY",2009,11,International Journal of Semantic Computing
10.1142/s1793351x07000123,OBJECT CUT AND PASTE IN IMAGES AND VIDEOS,"GERALD FRIEDLAND, KRISTIAN JANTZ, TOBIAS LENZ, FABIAN WIESEL, RAÚL ROJAS",2007,5,International Journal of Semantic Computing
10.1142/s1793351x09000732,MULTI-VERSION MUSIC SEARCH USING ACOUSTIC FEATURE UNION AND EXACT SOFT MAPPING,"YI YU, KAZUKI JOE, VINCENT ORIA, FABIAN MOERCHEN, J. STEPHEN DOWNIE, LEI CHEN",2009,11,International Journal of Semantic Computing
10.1142/s1793351x10000961,ONTOGRATE: TOWARDS AUTOMATIC INTEGRATION FOR RELATIONAL DATABASES AND THE SEMANTIC WEB THROUGH AN ONTOLOGY-BASED FRAMEWORK,"DEJING DOU, HAN QIN, PAEA LEPENDU",2010,6,International Journal of Semantic Computing
10.1142/s1793351x22400165,ExpSFROA-Based DRN: Exponential Sunflower Rider Optimization Algorithm-Driven Deep Residual Network for the Intrusion Detection in IOT-Based Plant Disease Monitoring,"Mali Shrikant Deelip, K. Govinda",2023,0,International Journal of Semantic Computing
10.1142/s1793351x13400023,MULTIMODAL INFORMATION FUSION OF AUDIO EMOTION RECOGNITION BASED ON KERNEL ENTROPY COMPONENT ANALYSIS,"ZHIBING XIE, LING GUAN",2013,16,International Journal of Semantic Computing
10.1142/s1793351x07000287,CORPUS-BASED GESTURE ANALYSIS: AN EXTENSION OF THE FORM DATASET FOR THE AUTOMATIC DETECTION OF PHASES IN A GESTURE,"CRAIG MARTELL, JOSHUA KROLL",2007,7,International Journal of Semantic Computing
