DOI,Título,Autores,Año,Citas,Revista
10.1515/jisys-2013-0039,An Approach for Generating Pattern-Based Shorthand Using Speech-to-Text Conversion and Machine Learning,"K. R. Abhinand, H. K. Anasuya Devi",2013,0,Journal of Intelligent Systems
10.1515/jisys-2014-0122,Mining Breast Cancer Classification Rules from Mammograms,"Jinn-Yi Yeh, Si-Wa Chan, Tai-Hsi Wu",2016,1,Journal of Intelligent Systems
10.1515/jisys.2001.11.2.75,Implementation of an Intelligent Force Feedback Multimedia Game,"F. He, A. Agah",2001,0,Journal of Intelligent Systems
10.1515/jisys.2006.15.1-4.81,Coordination and Communication in Police Command and Control Rooms,"G. Spinelli, B. Sharma, P. Shaw, S. Dines",2006,0,Journal of Intelligent Systems
10.1515/jisys.2002.12.3.173,Feature Selection for Modular Neural Network Classifiers,"Sheng-Uei Guan, Peng Li",2002,2,Journal of Intelligent Systems
10.1515/jisys.2008.17.s1.133,Genetic Algorithm Optimization and Control System Design of Flexible Structures,"M.O. Tokhi, M.Z. Md Zain, M.S. Alam, F.M. Aldebrez, S.Z. Mohd Hashim, I.Z. Mat Darus",2008,0,Journal of Intelligent Systems
10.1515/jisys-2015-0001,Efficacy of Fuzzy-Stat Modelling in Classification of Gynaecologists and Patients,"Anjali Sardesai, Vilas Kharat, Pradip Sambarey, Ashok Deshpande",2016,4,Journal of Intelligent Systems
10.1515/jisys.2004.13.4.329,"Evolutionary, Neural, and Statistical Approaches to Interval Clustering for Web Mining","Pawan Lingras, Rui Yan, Mofreh Hogo",2004,2,Journal of Intelligent Systems
10.1515/jisys-2019-0023,Analogy-Based Approaches to Improve Software Project Effort Estimation Accuracy,"V Resmi, S Vijayalakshmi",2019,0,Journal of Intelligent Systems
10.1515/jisys.2008.17.1-3.143,Reliability Based Optimal Design of Water Distribution Networks by Genetic Algorithm,"C.R. Suribabu, T.R. Neelakantan",2008,0,Journal of Intelligent Systems
10.1515/jisys-2017-0398,Neural Network-Based Architecture for Sentiment Analysis in Indian Languages,"Rupal Bhargava, Shivangi Arora, Yashvardhan Sharma",2019,9,Journal of Intelligent Systems
10.1515/jisys.2010.19.4.337,Many Realities: Outline of a Brain Philosophy Based on Glial-Neuronal Interactions,Bernhard J. Mitterauer,2010,2,Journal of Intelligent Systems
10.1515/jisys.2007.16.4.323,A New Approach to Automatic Species Identification Using Biological Data Mining,"Seetharam Narasimhan, Shreyas Sen, Amit Konar",2007,0,Journal of Intelligent Systems
10.1515/jisys.2002.12.3.i,CONTENTS,,2002,0,Journal of Intelligent Systems
10.1515/jisys.2011.20.issue-1,n.m.,,2011,0,Journal of Intelligent Systems
10.1515/jisys.2002.12.1.41,Navigational Planning By Constrained Hierarchical Neural Net,"S. Patnaik, K. Karibasappa",2002,0,Journal of Intelligent Systems
10.1515/jisys.2007.16.3.241,A Lateral Symmetry Approach to Percentage-Based Hybrid Pattern (PHP) Training,"Sheng-Uei Guan, Kiruthika Ramanathan",2007,0,Journal of Intelligent Systems
10.1515/jisys.2000.10.4.321,A Clustering Technique Using Dynamic Filtering Concepts and its Application to Computer Workload Modeling,"K.I. Shihab, H.A. Ramadhan",2000,1,Journal of Intelligent Systems
10.1515/jisys-2018-0492,Linear Regression Supporting Vector Machine and Hybrid LOG Filter-Based Image Restoration,"D. Khalandar Basha, T. Venkateswarlu",2019,2,Journal of Intelligent Systems
10.1515/jisys-2016-0036,Multiple Watermarking for Healthcare Applications,"Aditi Zear, Amit Kumar Singh, Pardeep Kumar",2018,21,Journal of Intelligent Systems
10.1515/jisys.2009.18.1-2.33,Multimodal Data Fusion for Intelligent Cardiovascular Diagnosis and Treatment in the Active Vessel Medical Workstation,"Maya Dimitrova, Chavdar Roumenin, Dimitar Nikolov, David Rotger, Petia Radeva",2009,2,Journal of Intelligent Systems
10.1515/jisys-2013-0015,Request–Response Distributed Power Management in Cloud Data Centers,"Jianxiang Li, Youchun Zhang",2013,0,Journal of Intelligent Systems
10.1515/jisys.2001.11.6,n.m.,,2001,0,Journal of Intelligent Systems
10.1515/jisys.2007.16.4,n.m.,,2007,0,Journal of Intelligent Systems
10.1515/jisys-2014-0168,A Collaborative Workflow for Computer-Aided Design in Ambient Assisted Living: The ASIM Project,"Nicolas Ferry, Pascal Berruet, Willy Allegre, Laurent Augu",2015,0,Journal of Intelligent Systems
10.1515/jisys-2017-0364,Automatically Assess Day Similarity Using Visual Lifelogs,"Khalid El Asnaoui, Petia Radeva",2018,1,Journal of Intelligent Systems
10.1515/jisys.2005.14.2-3.213,Human Evolutionary Model,"O. Montiel, O. Castillo, P. Melin, A. Rodríguez-Díaz, R. Sepulveda",2005,1,Journal of Intelligent Systems
10.1515/jisys-2014-0132,Financial Distress Prediction Based on Support Vector Machine with a Modified Kernel Function,"Chong Wu, Lu Wang, Zhe Shi",2016,2,Journal of Intelligent Systems
10.1515/jisys.2001.11.2,n.m.,,2001,0,Journal of Intelligent Systems
10.1515/jisys-2017-frontmatter3,Frontmatter,,2017,0,Journal of Intelligent Systems
10.1515/jisys.2000.10.3.255,Representation and Processing of Domain Knowledge for Simulation-Based Training in Complex Dynamic Systems,"G.T. Georgiev, I.I. Zheliazkova",2000,0,Journal of Intelligent Systems
10.1515/jisys.2004.13.3.199,Connection Topologies for Combining Genetic and Least Square Methods for Neural Learning,Ranadhir Ghosh,2004,1,Journal of Intelligent Systems
10.1515/jisys-2013-0064,Sound and Vision,Mark Dougherty,2013,0,Journal of Intelligent Systems
10.1515/jisys.2009.18.4.333,A Website Recommender System Based on an Analysis of the User's Access Log,"P. Bedi, H. Kaur, B. Gupta, J. Talreja, M. Sood",2009,2,Journal of Intelligent Systems
10.1515/jisys-2013-masthead1,Masthead,,2013,0,Journal of Intelligent Systems
10.1515/jisys.2000.10.3,n.m.,,2000,0,Journal of Intelligent Systems
10.1515/jisys-2012-0024,Group–Proxy Signature Scheme: A Novel Solution to Electronic Cash,"Haiyong Bao, Zhenfu Cao",2013,2,Journal of Intelligent Systems
10.1515/jisys-2014-0109,A Robust Iris Feature Extraction Approach Based on Monogenic and 2D Log-Gabor Filters,"Walid Aydi, Nade Fadhel, Nouri Masmoudi, Lotfi Kamoun",2015,4,Journal of Intelligent Systems
10.1515/jisys.2010.19.2.i,CONTENTS,,2010,0,Journal of Intelligent Systems
10.1515/jisys-2012-0016,Fuzzy Inference Systems for Crop Yield Prediction,"M. A. Jayaram, Netra Marad",2012,4,Journal of Intelligent Systems
10.1515/jisys-2015-0154,A State-of-the-Art Review of Knowledge Discovery in Multiple Databases,"Animesh Adhikari, Lakhmi C. Jain, Bhanu Prasad",2017,3,Journal of Intelligent Systems
10.1515/jisys-2013-0056,Graph-Based Bootstrapping for Coreference Resolution,"J. Balaji, T.V. Geetha, P. Ranjani",2014,2,Journal of Intelligent Systems
10.1515/jisys-2015-0136,A Genetic Algorithm Approach for Discovering Tuned Fuzzy Classification Rules with Intra- and Inter-Class Exceptions,"Renu Bala, Saroj Ratnoo",2016,6,Journal of Intelligent Systems
10.1515/jisys-2015-0089,Grid Resource Allocation with Genetic Algorithm Using Population Based on Multisets,"Absalom E. Ezugwu, Nneoma A. Okoroafor, Seyed M. Buhari, Marc E. Frincu, Sahalu B. Junaidu",2017,3,Journal of Intelligent Systems
10.1515/jisys.2008.17.s1.5,Nature Inspired Neural Network Ensemble Learning,"Yong Liu, Xin Yao",2008,0,Journal of Intelligent Systems
10.1515/jisys.2011.001,Finding Clusters and Outliers for Data Sets with Constraints,Yong Shi,2011,0,Journal of Intelligent Systems
10.1515/jisys.2001.11.6.i,CONTENTS,,2001,0,Journal of Intelligent Systems
10.1515/jisys-2013-0022,Selection Method of Customer Partners in Customer Collaborative Product Innovation,"Fei Li, Yu Yang, Jianzhong Xie, Aijun Liu, Qian Chen",2014,2,Journal of Intelligent Systems
10.1515/jisys-2016-0329,Predicting Automatic Trigger Speed for Vehicle-Activated Signs,"Diala Jomaa, Siril Yella",2018,0,Journal of Intelligent Systems
10.1515/jisys-2013-0024,Integrated Assessment on Profitability of the Chinese Aviation Industry,"Zhi-yuan Li, Jacob Bender",2014,0,Journal of Intelligent Systems
10.1515/jisys-2018-0430,"Discriminating Healthy Wheat Grains from Grains Infected with Fusarium graminearum Using Texture Characteristics of Image-Processing Technique, Discriminant Analysis, and Support Vector Machine Methods","Yousef Abbaspour-Gilandeh, Hamed Ghadakchi-Bazaz, Mahdi Davari",2019,2,Journal of Intelligent Systems
10.1515/jisys-2017-0022,Novel Relevance Feedback Approach for Color Trademark Recognition Using Optimization and Learning Strategy,"Latika Pinjarkar, Manisha Sharma, Smita Selot",2018,0,Journal of Intelligent Systems
10.1515/jisys-2017-0065,Evaluation of Flexible Manufacturing Systems Using a Hesitant Group Decision Making Approach,"Beyzanur Cayir Ervural, Bilal Ervural, Özgür Kabak",2019,4,Journal of Intelligent Systems
10.1515/jisys-2014-0140,Gaussian Mixture Model Based Classification of Stuttering Dysfluencies,"P. Mahesha, D.S. Vinod",2016,5,Journal of Intelligent Systems
