DOI,Título,Autores,Año,Citas,Revista
10.1109/tnnls.2022.3172130,Data-Efficient Off-Policy Learning for Distributed Optimal Tracking Control of HMAS With Unidentified Exosystem Dynamics,Yong Xu and Zheng-Guang Wu,2022,2,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3070584,Multiagent Meta-Reinforcement Learning for Adaptive Multipath Routing Optimization,Long Chen and Bin Hu and Zhi-Hong Guan and Lian Zhao and Xuemin Shen,2022,4,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2017.2663843,Probabilistic Distance for Mixtures of Independent Component Analyzers,Gonzalo Safont and Addisson Salazar and Luis Vergara and Enriqueta Gomez and Vicente Villanueva,2018,18,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2461022,Enhanced Data-Driven Optimal Terminal ILC Using Current Iteration Control Knowledge,Ronghu Chi and Zhongsheng Hou and Shangtai Jin and Danwei Wang and Chiang-Ju Chien,2015,37,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2900956,A Novel Concept Drift Detection Method for Incremental Learning in Nonstationary Environments,Zhe Yang and Sameer Al-Dahidi and Piero Baraldi and Enrico Zio and Lorenzo Montelatici,2020,30,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3040629,Editorial: Staying Healthy and Strong Together,Haibo He,2021,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3052670,IEEE Computational Intelligence Society Information,,2021,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3015660,Attention-Based Road Registration for GPS-Denied UAS Navigation,Teng Wang and Ye Zhao and Jiawei Wang and Arun K. Somani and Changyin Sun,2021,2,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3008154,A Hybrid CMOS-Memristive Approach to Designing Deep Generative Models,Vivek Parmar and Manan Suri,2021,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3016632,CSLM: Convertible Short-Term and Long-Term Memory in Differential Neural Computers,Shiming Xiang and Bo Tang,2021,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3017490,Adaptive Developmental Resonance Network,Gyeong-Moon Park and Jong-Hwan Kim,2021,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2326427,Topology-Based Clustering Using Polar Self-Organizing Map,n.m. Lu Xu and Tommy W. S. Chow and Eden W. M. Ma,2015,6,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2900544,A Time Wave Neural Network Framework for Solving Time-Dependent Project Scheduling Problems,Wei Huang and Liang Gao,2020,3,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3190509,Multiarmed Bandit Algorithms on Zynq System-on-Chip: Go Frequentist or Bayesian?,S. V. Sai Santosh and Sumit J. Darak,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2497821,Farewell Editorial: Smooth Transition of IEEE TNNLS,Derong Liu,2015,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2608443,IEEE World Congress on Computational Intelligence 2018,,2016,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2011.2179310,A Globally Convergent MC Algorithm With an Adaptive Learning Rate,n.m. Dezhong Peng and n.m. Zhang Yi and n.m. Yong Xiang and n.m. Haixian Zhang,2012,9,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2479518,2015 IEEE Symposium Series on Computational Intelligence,,2015,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2329592,IEEE Transactions on Neural Networks information for authors,,2014,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2519998,Table of contents,,2016,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2608440,Ieee transactions on neural networks and learning systems special section on deep reinforcement learning and adaptive dynamic programming,,2016,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2597459,Table of contents,,2016,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2608983,One-Class Classifiers Based on Entropic Spanning Graphs,Lorenzo Livi and Cesare Alippi,2017,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2324475,IEEE Computational Intelligence Society Information,,2014,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3153310,Accelerated Partially Shared Dictionary Learning With Differentiable Scale-Invariant Sparsity for Multi-View Clustering,Haoli Zhao and Zhenni Li and Wuhui Chen and Zibin Zheng and Shengli Xie,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3221299,IEEE Computational Intelligence Society Information,,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2320738,Successive Overrelaxation for Laplacian Support Vector Machine,Zhiquan Qi and Yingjie Tian and Yong Shi,2015,25,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3106635,Inverse Reinforcement Q-Learning Through Expert Imitation for Discrete-Time Systems,Wenqian Xue and Bosen Lian and Jialu Fan and Patrik Kolaric and Tianyou Chai and Frank L. Lewis,2021,9,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3227167,Hyperspectral Anomaly Detection Using Reconstruction Fusion of Quaternion Frequency Domain Analysis,Bing Tu and Xianchang Yang and Wei He and Jun Li and Antonio Plaza,2023,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3151138,DualConv: Dual Convolutional Kernels for Lightweight Deep Neural Networks,Jiachen Zhong and Junying Chen and Ajmal Mian,2022,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2863877,Table of contents,,2018,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2497318,A Boosting Approach to Exploit Instance Correlations for Multi-Instance Classification,Yali Li and Shengjin Wang and Qi Tian and Xiaoqing Ding,2016,10,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2016.2553378,2016 IEEE Symposium Series on Computational Intelligence,,2016,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2821083,IEEE Computational Intelligence Society Information,,2018,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2422699,Smart-Grid Backbone Network Real-Time Delay Reduction via Integer Programming,Sasikanth Pagadrai and Muhittin Yilmaz and Pratyush Valluri,2016,4,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2863879,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS publication information,,2018,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2013.2264330,Table of contents,,2013,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2015.2388633,On the Non-STDP Behavior and Its Remedy in a Floating-Gate Synapse,Roshan Gopalakrishnan and Arindam Basu,2015,7,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.3045932,Agglomerative Neural Networks for Multiview Clustering,Zhe Liu and Yun Li and Lina Yao and Xianzhi Wang and Feiping Nie,2022,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3087533,Rapid Sensor Fault Diagnosis for a Class of Nonlinear Systems via Deterministic Learning,Tianrui Chen and Zejian Zhu and Cong Wang and ZhaoYang Dong,2022,2,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2830761,Pairwise Constraint Propagation-Induced Symmetric Nonnegative Matrix Factorization,Wenhui Wu and Yuheng Jia and Sam Kwong and Junhui Hou,2018,43,IEEE Transactions on Neural Networks and Learning Systems
