DOI,Título,Autores,Año,Citas,Revista
10.2478/jaiscr-2019-0004,Solution of Linear and Non-Linear Boundary Value Problems Using Population-Distributed Parallel Differential Evolution,Amnah Nasim and Laura Burattini and Muhammad Faisal Fateh and Aneela Zameer,2019,6,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2014-0009,A Big-Bang Big-Crunch Optimized General Type-2 Fuzzy Logic Approach for Multi-Criteria Group Decision Making,Syibrah Naim and Hani Hagras,2013,3,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0020,Local Levenberg-Marquardt Algorithm for Learning Feedforwad Neural Networks,Jarosław Bilski and Bartosz Kowalczyk and Alina Marchlewska and Jacek M. Zurada,2020,39,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2017-0011,Parallel MCNN (pMCNN) with Application to Prototype Selection on Large and Streaming Data,V. Susheela Devi and Lakhpat Meena,2017,18,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2015-0027,Experimental Development Of A Focalization Mechanism In An Integrated Narrative Generation System,Taisuke Akimoto and Takashi Ogata,2015,9,Journal of Artificial Intelligence and Soft Computing Research
10.1515/jaiscr-2018-0011,One-Match-Ahead Forecasting in Two-Team Sports with Stacked Bayesian Regressions,Max W. Y. Lam,2018,13,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0004,Rough Support Vector Machine for Classification with Interval and Incomplete Data,Robert K. Nowicki and Konrad Grzanek and Yoichi Hayashi,2020,13,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0012,An Algorithm for the Evolutionary-Fuzzy Generation of on-Line Signature Hybrid Descriptors,Marcin Zalasiński and Krzysztof Cpałka and Łukasz Laskowski and Donald C. Wunsch and Krzysztof Przybyszewski,2020,7,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2020-0011,Evolutionary Algorithm with a Configurable Search Mechanism,Krystian Łapa and Krzysztof Cpałka and Łukasz Laskowski and Andrzej Cader and Zhigang Zeng,2020,9,Journal of Artificial Intelligence and Soft Computing Research
10.2478/jaiscr-2018-0028,Topological Properties of Four-Layered Neural Networks,M. Javaid and M. Abbas and Jia-Bao Liu and W. C. Teh and Jinde Cao,2019,9,Journal of Artificial Intelligence and Soft Computing Research
