Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2006 JIF
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL ,0941-0643,1433-3058,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",190,0.61
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING ,0168-7433,1573-0670,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",377,0.608
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF ,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",463,0.598
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL ,0883-9514,1087-6545,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",327,0.576
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST ,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",352,0.576
MACHINE VISION AND APPLICATIONS,MACH VISION APPL ,0932-8092,1432-1769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",328,0.569
SOFT COMPUTING,SOFT COMPUT ,1432-7643,1433-7479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",312,0.516
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN ,0218-0014,1793-6381,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",494,0.508
MINDS AND MACHINES,MIND MACH ,0924-6495,1572-8641,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",153,0.475
AI COMMUNICATIONS,AI COMMUN ,0921-7126,1875-8452,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",236,0.469
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST ,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",628,0.429
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW ,0218-1940,1793-6403,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",157,0.413
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INT J UNCERTAIN FUZZ ,0218-4885,1793-6411,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",357,0.406
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM ,0890-0604,1469-1760,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",183,0.405
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL ,1433-7541,1433-755X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",195,0.4
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO ,1079-8587,2326-005X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",70,0.354
APPLIED INTELLIGENCE,APPL INTELL ,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",233,0.329
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN ,0952-813X,1362-3079,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",141,0.297
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST ,1064-1246,1875-8967,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",144,0.283
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST ,0921-0296,1573-0409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",249,0.265
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E ,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",80,0.236
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S ,1542-3980,1542-3999,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",17,0.2
COMPUTING AND INFORMATICS,COMPUT INFORM ,1335-9150,1335-9150,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",34,0.136
EXPERT SYSTEMS,EXPERT SYST ,0266-4720,1468-0394,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",152,0.119
N/A,ENG INTELL SYST ELEC ,1472-8915,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",22,0.094
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+ ,1064-2307,1555-6530,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",18,0.051
