Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"EXPERT SYSTEMS","EXPERT SYST","0266-4720","1468-0394","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,833","2.812","Q3","0.65","4.07"%,
"APPLIED ARTIFICIAL INTELLIGENCE","APPL ARTIF INTELL","0883-9514","1087-6545","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,399","2.777","Q3","0.42","18.53"%,
"Journal of Web Semantics","J WEB SEMANT","1570-8268","1873-7749","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,110","2.77","Q3","0.7","15.19"%,
"Journal of Ambient Intelligence and Smart Environments","J AMB INTEL SMART EN","1876-1364","1876-1372","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","554","2.759","Q3","0.48","3.57"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","0924-8463","1572-8382","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","591","2.723","Q3","1.76","33.8"%,
"IET Biometrics","IET BIOMETRICS","2047-4938","2047-4946","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","907","2.716","Q3","0.54","37.59"%,
"Journal of Artificial Intelligence and Soft Computing Research","J ARTIF INTELL SOFT","2083-2567","2449-6499","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","325","2.675","Q3","0.79","100"%,
"NEURAL PROCESSING LETTERS","NEURAL PROCESS LETT","1370-4621","1573-773X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,028","2.565","Q3","0.5","2.56"%,
"International Journal of Multimedia Information Retrieval","INT J MULTIMED INF R","2192-6611","2192-662X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","398","2.553","Q3","0.75","14.04"%,
"KNOWLEDGE AND INFORMATION SYSTEMS","KNOWL INF SYST","0219-1377","0219-3116","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,789","2.531","Q3","0.62","8.63"%,
"AI MAGAZINE","AI MAG","0738-4602","2371-9621","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,474","2.524","Q3","0.31","0"%,
"Genetic Programming and Evolvable Machines","GENET PROGRAM EVOL M","1389-2576","1573-7632","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","515","2.522","Q3","0.55","27.54"%,
"JOURNAL OF INTELLIGENT INFORMATION SYSTEMS","J INTELL INF SYST","0925-9902","1573-7675","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,373","2.504","Q3","0.56","17.88"%,
"JOURNAL OF CHEMOMETRICS","J CHEMOMETR","0886-9383","1099-128X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,544","2.5","Q3","0.65","11.91"%,
"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS","AUTON AGENT MULTI-AG","1387-2532","1573-7454","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,157","2.475","Q3","0.4","29.03"%,
"PeerJ Computer Science","PEERJ COMPUT SCI","N/A","2376-5992","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,951","2.411","Q3","0.54","98.74"%,
"Evolving Systems","EVOL SYST-GER","1868-6478","1868-6486","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","683","2.347","Q3","0.53","3.13"%,
"PATTERN ANALYSIS AND APPLICATIONS","PATTERN ANAL APPL","1433-7541","1433-755X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,099","2.307","Q3","0.49","6.94"%,
"Traitement du Signal","TRAIT SIGNAL","0765-0019","1958-5608","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","564","2.299","Q3","0.45","1.02"%,
"JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE","J EXP THEOR ARTIF IN","0952-813X","1362-3079","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,240","2.296","Q3","0.38","0.94"%,
"Journal of Real-Time Image Processing","J REAL-TIME IMAGE PR","1861-8200","1861-8219","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,643","2.293","Q3","0.57","7.43"%,
"International Journal of Computational Intelligence Systems","INT J COMPUT INT SYS","1875-6891","1875-6883","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,213","2.259","Q3","0.43","89.39"%,
"JOURNAL OF HEURISTICS","J HEURISTICS","1381-1231","1572-9397","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,519","2.247","Q3","0.58","12.62"%,
"International Journal of Applied Mathematics and Computer Science","INT J AP MAT COM-POL","1641-876X","2083-8492","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,365","2.157","Q3","0.53","35.76"%,
"COMPUTATIONAL INTELLIGENCE","COMPUT INTELL-US","0824-7935","1467-8640","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,419","2.142","Q3","0.38","3.25"%,
"KNOWLEDGE ENGINEERING REVIEW","KNOWL ENG REV","0269-8889","1469-8005","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,145","2.016","Q3","0.13","6.67"%,
