DOI,Título,Autores,Año,Citas,Revista
10.1016/j.datak.2013.11.002,Extending ER models to capture database transformations to build data sets for data mining,Carlos Ordonez and Sofian Maabout and David Sergio Matusevich and Wellington Cabrera,2014,7,Data &amp; Knowledge Engineering
10.1016/j.datak.2016.03.001,LCA-based algorithms for efficiently processing multiple keyword queries over XML streams,Evandrino G. Barros and Alberto H.F. Laender and Mirella M. Moro and Altigran S. da Silva,2016,2,Data &amp; Knowledge Engineering
10.1016/j.datak.2011.11.001,On the feasibility of using conceptual modeling constructs for the design and analysis of XML data,Arijit Sengupta,2012,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.09.010,SUSAX: Context-specific searching in XML documents using sequence alignment techniques,Kajal T. Claypool,2008,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2015.10.003,Converting unstructured into semi-structured process models,Rik Eshuis and Akhil Kumar,2016,7,Data &amp; Knowledge Engineering
10.1016/j.datak.2016.12.002,Improving the efficiency of NSGA-II based ontology aligning technology,Xingsi Xue and Yuping Wang,2017,11,Data &amp; Knowledge Engineering
10.1016/j.datak.2017.12.003,A spreading activation-based label propagation algorithm for overlapping community detection in dynamic social networks,Mohammad Sattari and Kamran Zamanifar,2018,14,Data &amp; Knowledge Engineering
10.1016/j.datak.2015.05.001,Parallel community detection on large graphs with MapReduce and GraphChi,Seunghyeon Moon and Jae-Gil Lee and Minseo Kang and Minsoo Choy and Jin-woo Lee,2016,24,Data &amp; Knowledge Engineering
10.1016/j.datak.2016.11.002,Matching parse thickets for open domain question answering,Boris Galitsky,2017,30,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00005-2,Formalization and correctness of a concurrent linear hash structure algorithm using nested transactions and I/O automata,Sanjay Kumar Madria and S.N. Maheshwari and B. Chandra,2001,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2006.03.001,Web Data and Schema Management,Sourav S. Bhowmick and Sanjay Kumar Madria and Sharma Chakravarthy,2007,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(06)00197-2,IFC - Editorial Board,,2007,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2023.102175,Optimal event log sanitization for privacy-preserving process mining,Stephan A. Fahrenkrog-Petersen and Han van der Aa and Matthias Weidlich,2023,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(08)00138-9,IFC - Editorial Board,,2008,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00056-8,Author index to volume,,2001,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2018.08.001,A case study on the use of machine learning techniques for supporting technology watch,Alain Perez and Rosa Basagoiti and Ronny Adalberto Cortez and Felix Larrinaga and Ekaitz Barrasa and Ainara Urrutia,2018,3,Data &amp; Knowledge Engineering
10.1016/s0169-023x(05)00004-2,Editorial board,,2005,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2019.101775,Preface,Max Silberztein and Elisabeth Métais and Farid Meziane and Elena Kornyshova and Faten Atigui,2020,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(16)30027-1,Editorial Board,,2016,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2017.03.005,Probabilistic object deputy model for uncertain data and lineage management,Liang Wang and Liwei Wang and Zhiyong Peng,2017,2,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00018-7,Editorial board,,2004,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2004.10.002,Component development and construction for database design,Bernhard Thalheim,2005,12,Data &amp; Knowledge Engineering
10.1016/s0169-023x(99)00038-5,An algorithm for maintaining working memory consistency in multiple rule firing systems,Tolety Siva Perraju and Bandreddi E. Prasad,2000,4,Data &amp; Knowledge Engineering
10.1016/j.datak.2005.08.002,Interoperability mapping from XML schemas to ER diagrams,Giuseppe Della Penna and Antinisca Di Marco and Benedetto Intrigila and Igor Melatti and Alfonso Pierantonio,2006,6,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.06.018,Filtering unsatisfiable XPath queries,Jinghua Groppe and Sven Groppe,2008,10,Data &amp; Knowledge Engineering
10.1016/j.datak.2017.03.002,Multi-level ontology-based conceptual modeling,Victorio A. Carvalho and João Paulo A. Almeida and Claudenir M. Fonseca and Giancarlo Guizzardi,2017,38,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.02.004,Privacy preserving decision tree learning over multiple parties,F. Emekci and O.D. Sahin and D. Agrawal and A. El Abbadi,2007,69,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00115-5,Subject index,,2002,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2007.10.004,The XML Tree Model – toward an XML conceptual schema reversed from XML Schema Definition,Joseph Fong and San Kuen Cheung and Herbert Shiu,2008,17,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00062-9,On the quest for easy-to-understand splitting rules,Fernando Berzal and Juan-Carlos Cubero and Fernando Cuenca and Marı́a J. Martı́n-Bautista,2003,18,Data &amp; Knowledge Engineering
10.1016/s0169-023x(09)00009-3,IFC - Editorial Board,,2009,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(11)00062-0,Editorial Board,,2011,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.11.004,Efficiently tracing clusters over high-dimensional on-line data streams,Jae Woo Lee and Nam Hun Park and Won Suk Lee,2009,5,Data &amp; Knowledge Engineering
10.1016/s0169-023x(09)00119-0,IFC - Editorial Board,,2009,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(12)00042-0,Editorial Board,,2012,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.05.005,New research directions for data and knowledge engineering: A philosophy of language approach,Andrew Basden and Heinz K. Klein,2008,6,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00163-5,The Freeze algorithms for concurrency control in secure real-time database systems,Chanjung Park and Seog Park,2003,5,Data &amp; Knowledge Engineering
10.1016/j.datak.2005.07.004,Guest editorial,Paolo Atzeni and Wesley W. Chu,2006,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(10)00116-3,Editorial Board,,2010,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2006.08.006,A framework in prolog for computing structural relationships,Carsten Pontow and Florian Dazinger and Rainer Schubert,2007,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2006.07.011,Ownership as a conceptual modeling construct,Michael Halper and Li-min Liu and James Geller and Yehoshua Perl,2007,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2012.09.003,Preface: Special Section featuring extended papers from the 30th International Conference on Conceptual Modeling (ER-2011),Manfred Jeusfeld and Lois Delcambre and Tok Wang Ling,2013,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(03)00019-3,A conceptual model for increasing utilization of dependable computer networks,Moshe Zviran and Niv Ahituv and Chanan Glezer,2003,1,Data &amp; Knowledge Engineering
10.1016/s0169-023x(04)00130-2,Collaborative business process technologies,M ORLOWSKA and S SADIQ,2005,4,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00050-7,A complementary approach to data broadcasting in mobile information systems,Ye-In Chang and Che-Nan Yang,2002,13,Data &amp; Knowledge Engineering
10.1016/j.datak.2019.101778,Corrigendum to “An effective High Recall Retrieval method” [Data Knowl. Eng. 123 (2019) 13],Justin JongSu Song and Wookey Lee and Jafar Afshar,2020,0,Data &amp; Knowledge Engineering
