Revista,Citas 2004,Citas 2005,Citas 2006,Citas 2007,Citas 2008,Citas 2009,Citas 2010,Citas 2011,Citas 2012,Citas 2013,Citas 2014,Citas 2015,Citas 2016,Citas 2017,Citas 2018,Citas 2019,Citas 2020,Citas 2021,Citas 2022
IEEE Transactions on Cybernetics,,,,,,,,,,116,723,2246,5553,9424,13561,17681,10.504,38676,38676
IEEE Transactions on Human-Machine Systems,,,,,,,,,,23,114,239,518,891,1269,1556,2.81,2333,2333
Memetic Computing,,,,,,,,,,,123,147,280,310,469,571,5.783,814,814
IET Biometrics,,,,,,,,,,,38,86,171,280,475,572,2.316,907,907
Semantic Web,,,,,,,,,,,,284,543,522,798,836,1.893,1355,1355
Frontiers in Neurorobotics,,,,,,,,,,,,154,270,353,609,799,2.432,2087,2087
Journal of Ambient Intelligence and Humanized Computing,,,,,,,,,,,,188,397,515,861,2097,4.214,8357,8357
International Journal of Machine Learning and Cybernetics,,,,,,,,,,,,413,733,1134,1998,2447,3.535,4115,4115
Statistical Analysis and Data Mining,,,,,,,,,,,,243,375,336,393,478,1.017,719,719
Swarm and Evolutionary Computation,,,,,,,,,,,,740,1301,1517,2429,3774,6.635,7569,7569
IET Image Processing,,,,,,,,,,,,,793,1000,1636,2030,1.932,3675,3675
ACM Transactions on Asian and Low-Resource Language Information Processing,,,,,,,,,,,,,12,23,65,129,1.107,413,413
IEEE Transactions on Cognitive and Developmental Systems,,,,,,,,,,,,,7,56,221,461,3.171,1276,1276
Egyptian Informatics Journal,,,,,,,,,,,,,,,406,579,3.886,1037,1037
Big Data Research,,,,,,,,,,,,,,,381,462,3.578,740,740
IEEE Transactions on Games,,,,,,,,,,,,,,,22,83,1.716,191,191
International Journal of Interactive Multimedia and Artificial Intelligence,,,,,,,,,,,,,,,,537,2.735,1128,1128
ACM Transactions on Interactive Intelligent Systems,,,,,,,,,,,,,,,,560,1.941,1014,1014
Complex &amp; Intelligent Systems,,,,,,,,,,,,,,,,278,3.982,1941,1941
PeerJ Computer Science,,,,,,,,,,,,,,,,685,1.353,1951,1951
Artificial Intelligence and Law,,,,,,,,,,,,,,,,,2.333,591,591
Evolving Systems,,,,,,,,,,,,,,,,,1.769,683,683
Journal of Artificial Intelligence and Soft Computing Research,,,,,,,,,,,,,,,,,1.775,325,325
International Journal of Multimedia Information Retrieval,,,,,,,,,,,,,,,,,2.974,398,398
Nature Machine Intelligence,,,,,,,,,,,,,,,,,14.797,4060,4060
Transactions of the Association for Computational Linguistics,,,,,,,,,,,,,,,,,,2530,2530
IEEE Transactions on Intelligent Vehicles,,,,,,,,,,,,,,,,,,1666,1666
CAAI Transactions on Intelligence Technology,,,,,,,,,,,,,,,,,,812,
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,,,,,,,,,,,,,,1266,1266
Machine Learning: Science and Technology,,,,,,,,,,,,,,,,,,791,791
Advanced Intelligent Systems,,,,,,,,,,,,,,,,,,1841,1841
