Revista,ISSN,Categoria
Information Fusion,1566-2535,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Natural Computing,1567-7818,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Fuzzy Optimization and Decision Making,1568-4539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Applied Soft Computing,1568-4946,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Semantic Web,1570-0844,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Applied Ontology,1570-5838,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Web Semantics,1570-8268,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Advances in Electrical and Computer Engineering,1582-7445,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Frontiers in Neurorobotics,1662-5218,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
The International Arab Journal of Information Technology,1683-3198,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IET Computer Vision,1751-9632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IET Image Processing,1751-9659,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Bio-Inspired Computation,1758-0366,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal on Multimodal User Interfaces,1783-7677,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Real-Time Image Processing,1861-8200,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Memetic Computing,1865-9284,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Cognitive Computation,1866-9956,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Ambient Intelligence and Humanized Computing,1868-5137,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Evolving Systems,1868-6478,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Machine Learning and Cybernetics,1868-8071,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Computational Intelligence Systems,1875-6891,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Ambient Intelligence and Smart Environments,1876-1364,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Statistical Analysis and Data Mining: The ASA Data Science Journal,1932-1864,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Swarm Intelligence,1935-3812,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
SIAM Journal on Imaging Sciences,1936-4954,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,1942-4787,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Affective Computing,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Interactive Multimedia and Artificial Intelligence,1989-1660,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IET Biometrics,2047-4938,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Artificial Intelligence and Soft Computing Research,2083-2567,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
ACM Transactions on Intelligent Systems and Technology,2157-6904,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
ACM Transactions on Interactive Intelligent Systems,2160-6455,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Cybernetics,2168-2267,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Human-Machine Systems,2168-2291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Multimedia Information Retrieval,2192-6611,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Complex &amp; Intelligent Systems,2199-4536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Swarm and Evolutionary Computation,2210-6502,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Big Data Research,2214-5796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
PeerJ Computer Science,2376-5992,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Intelligent Vehicles,2379-8858,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Cognitive and Developmental Systems,2379-8920,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
CAAI Transactions on Intelligence Technology,2468-2322,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Transactions on Games,2475-1502,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Nature Machine Intelligence,2522-5839,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Machine Learning: Science and Technology,2632-2153,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Advanced Intelligent Systems,2640-4567,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
